	cluster
MEP-Eryth-2__AML009	U1
Classical-Mono__332131__Diagnosis	U1
MEP-Eryth-1__PT17__Diagnosis	U1
MEP-2__PT17__Diagnosis	U1
MEP-1__PT17__Diagnosis	U1
MEP-2__AML2451	U1
MPP-MEP__AML2451	U1
Plasma Cell__AML2451	U1
ERP-8__PT17__Diagnosis	U1
ERP-6__PT17__Diagnosis	U1
ERP-5__PT17__Diagnosis	U1
ERP-3__PT17__Diagnosis	U1
ERP-2__PT17__Diagnosis	U1
MEP-1__AML-02	U1
MEP-2__AML-02	U1
Erythroblast-3__AML-18	U1
MEP-1__10DD-1085__Diagnosis	U1
MEP-2__10DD-1085__Diagnosis	U1
pre-DC-2__PT17__D30	U1
pre-DC-1__PT17__D30	U1
MEP-Eryth-2__AML-02	U1
immNeu-1__PT17__D30	U1
Intermediate Mono-1__P23__Diagnosis	U1
MultiLin-GMP-3__10DD-1085__Diagnosis	U1
cDC1__PT17__D30	U1
ERP-8__AML2910	U1
Erythroblast-1__AML2910	U1
MEP-2__AML2910	U1
MPP-1__AML2910	U1
Multilin-1__PT17__D30	U1
ERP-1__332131__Diagnosis	U1
MPP-MEP__AML-02	U1
ERP-2__332131__Diagnosis	U1
MEP-Eryth-2__PT17__Diagnosis	U1
MPP-1__PT18__Diagnosis	U1
MAIT__PT18__Diagnosis	U1
MultiLin-GMP-3__332131__Diagnosis	U1
MPP-MEP__332131__Diagnosis	U1
LMPP-1-cycling__PT18__Diagnosis	U1
MEP-Eryth-2__332131__Diagnosis	U1
Erythroblast-3__AML2451	U1
NK-Mature__PT18__D14	U1
MEP-2__332131__Diagnosis	U1
Multilin-2__PT18__D14	U1
MPP-MEP__PT18__D14	U1
MPP-2__PT18__D14	U1
MPP-1__PT18__D14	U1
MKP-early__PT18__D14	U1
LMPP-2__PT18__D14	U1
MEP-1__332131__Diagnosis	U1
LMPP-1-cycling__PT18__D14	U1
LMPP-1__PT18__D14	U1
Classical-Mono__AML-02	U1
ASDC__AML-19-CR1	U1
Intermediate Mono-3__332131__Diagnosis	U1
ERP-5__332131__Diagnosis	U1
MEP-1__10DD-1082__Treatment	U1
MEP-2__10DD-1082__Treatment	U1
MEP-Eryth-2__10DD-1082__Treatment	U1
ERP-4__332131__Diagnosis	U1
MPP-MEP__PT17__Diagnosis	U1
MPP-1__PT17__Diagnosis	U1
MKP-early__PT17__Diagnosis	U1
