	cluster
Non-Classical Mono-2__Pt-69_Rl	U1
Intermediate Mono-2__562_AfInv16_25F	U11
cDC2-1__301_AfInv16_29M	U11
cDC1__301_AfInv16_29M	U11
Non-Classical Mono-2__301_AfInv16_29M	U11
Myeloid intermediate 1__301_AfInv16_29M	U11
Mono-2__301_AfInv16_29M	U11
Mono-1__301_AfInv16_29M	U11
MDP-3__301_AfInv16_29M	U11
MDP-2__301_AfInv16_29M	U11
Intermediate Mono-3__301_AfInv16_29M	U11
Intermediate Mono-2__301_AfInv16_29M	U11
Intermediate Mono-1__301_AfInv16_29M	U11
cDC2-2__301_AfInv16_29M	U11
pre-DC-3__2698_EInv16_P47M	U11
Classical-Mono__AML012	U11
Non-Classical Mono-2__2698_EInv16_P47M	U11
Intermediate Mono-1__AML012	U11
Intermediate Mono-2__AML012	U11
Non-Classical Mono-2__AML012	U11
cDC2-1__AML012	U11
Intermediate Mono-2__2698_EInv16_P47M	U11
Intermediate Mono-1__2698_EInv16_P47M	U11
Non-Classical Mono-2__PAWWEE	U11
Intermediate Mono-1__2660_Ast82_38M	U11
cDC2-2__2270_Aft36_P71F	U11
Intermediate Mono-1__AML033	U11
cDC2-1__2698_EInv16_P47M	U11
cMOP__301_AfInv16_29M	U11
pre-DC-1__301_AfInv16_29M	U11
pre-DC-2__301_AfInv16_29M	U11
cDC1__4440_AfInv16_P24M	U11
Non-Classical Mono-2__4440_AfInv16_P24M	U11
Myeloid intermediate 2__4440_AfInv16_P24M	U11
Multilin-2__4440_AfInv16_P24M	U11
MDP-3__4440_AfInv16_P24M	U11
MDP-2__4440_AfInv16_P24M	U11
MDP-1__4440_AfInv16_P24M	U11
LMPP-2__4440_AfInv16_P24M	U11
Intermediate Mono-3__4440_AfInv16_P24M	U11
Intermediate Mono-2__4440_AfInv16_P24M	U11
Intermediate Mono-1__4440_AfInv16_P24M	U11
Classical-Mono__4440_AfInv16_P24M	U11
pre-DC-2__AML-11	U11
