	cluster
B Memory-1__AML-21-R1	U1
preNeu__P13__Diagnosis	U1
BMCP-1__P13__Relapse	U1
CD4 TCM__P13__Relapse	U1
CD8 TEM__P13__Relapse	U1
Classical-Mono__P13__Relapse	U1
Intermediate Mono-3__P13__Relapse	U1
LMPP-1__P13__Relapse	U1
LMPP-1-cycling__P13__Relapse	U1
MAIT__P13__Relapse	U1
MDP-1__P13__Relapse	U1
MDP-2__P13__Relapse	U1
pre-DC-2__P13__Diagnosis	U1
MPP-MEP__P13__Relapse	U1
Non-Classical Mono-1__AML-16-Dx	U1
MultiLin-GMP-1__P13__Relapse	U1
MultiLin-GMP-2__P13__Relapse	U1
Multilin-1__P13__Relapse	U1
Multilin-2__P13__Relapse	U1
Myeloid intermediate 2__P13__Relapse	U1
NK-Mature__P13__Relapse	U1
Non-Classical Mono-2__P13__Relapse	U1
cDC1__P13__Relapse	U1
cDC2-1__P13__Relapse	U1
pDC__P13__Relapse	U1
Mono-2__P13__Relapse	U1
immNeu-2__P13__Diagnosis	U1
cMOP__P13__Diagnosis	U1
B Memory-1__184874__Diagnosis	U1
MultiLin-GMP-1__P13__Diagnosis	U1
MultiLin-GMP-2__P13__Diagnosis	U1
MultiLin-GMP-3__P13__Diagnosis	U1
Multilin-1__P13__Diagnosis	U1
MultiLin-GMP-1__AML52-Azacitidine	U1
Myeloid intermediate 2__P13__Diagnosis	U1
NK-Mature__P13__Diagnosis	U1
T CD4 Activated__P13__Diagnosis	U1
T CD4 Naive-1__P13__Diagnosis	U1
pre-B__184874__Diagnosis	U1
cDC2-1__P13__Diagnosis	U1
cDC2-2__184874__Diagnosis	U1
cDC2-1__184874__Diagnosis	U1
Non-Classical Mono-2__184874__Diagnosis	U1
NK-Mature__184874__Diagnosis	U1
Mono-2__184874__Diagnosis	U1
MEP-Eryth-1__184874__Diagnosis	U1
MAIT__184874__Diagnosis	U1
Intermediate Mono-3__184874__Diagnosis	U1
Intermediate Mono-2__184874__Diagnosis	U1
Intermediate Mono-1__184874__Diagnosis	U1
Classical-Mono__184874__Diagnosis	U1
CD8 TEM__184874__Diagnosis	U1
CD4 TCM__184874__Diagnosis	U1
B Memory-2__184874__Diagnosis	U1
pre-DC-2__P13__Relapse	U1
CD4 TCM__P14__Diagnosis	U1
CD8 TEM__P14__Diagnosis	U1
CLP__P14__Diagnosis	U1
B Memory-2__P15__Diagnosis	U1
CD4 TCM__P15__Diagnosis	U1
CD8 TEM__P15__Diagnosis	U1
Classical-Mono__P15__Diagnosis	U1
Intermediate Mono-1__P15__Diagnosis	U1
Intermediate Mono-3__P15__Diagnosis	U1
LMPP-1__P15__Diagnosis	U1
LMPP-1-cycling__P15__Diagnosis	U1
LMPP-2__P15__Diagnosis	U1
MAIT__P15__Diagnosis	U1
MDP-2__P15__Diagnosis	U1
MPP-MEP__P15__Diagnosis	U1
Mono-1__P15__Diagnosis	U1
Mono-2__P15__Diagnosis	U1
MultiLin-GMP-1__P15__Diagnosis	U1
MultiLin-GMP-2__P15__Diagnosis	U1
MultiLin-GMP-3__P15__Diagnosis	U1
LMPP-2__PT01__Diagnosis	U1
Multilin-2__P15__Diagnosis	U1
Myeloid intermediate 2__P15__Diagnosis	U1
MEP-2__PT01__Diagnosis	U1
NK-Mature__P15__Diagnosis	U1
T CD4 Naive-1__P15__Diagnosis	U1
cDC1__P15__Diagnosis	U1
cDC2-2__P15__Diagnosis	U1
ASDC__P15__Diagnosis	U1
Mono-2__P13__Diagnosis	U1
pre-DC-2__P14__Relapse	U1
T CD4 Naive-1__P14__Relapse	U1
LMPP-1__P14__Diagnosis	U1
LMPP-1-cycling__P14__Diagnosis	U1
LMPP-2__P14__Diagnosis	U1
MDP-1__P14__Diagnosis	U1
MDP-2__P14__Diagnosis	U1
MPP-MEP__P14__Diagnosis	U1
MultiLin-GMP-2__P14__Diagnosis	U1
MultiLin-GMP-3__P14__Diagnosis	U1
NK-Mature__P14__Diagnosis	U1
Pro-B-cycling-1__P14__Diagnosis	U1
T CD4 Naive-1__P14__Diagnosis	U1
cDC2-1__P14__Diagnosis	U1
pDC__P14__Diagnosis	U1
pre-DC-2__P14__Diagnosis	U1
pre-DC-3__P14__Diagnosis	U1
CD4 TCM__P14__Relapse	U1
CD8 TEM__P14__Relapse	U1
CLP__P14__Relapse	U1
ERP-8__P14__Relapse	U1
LMPP-2__P14__Relapse	U1
MAIT__P14__Relapse	U1
MDP-1__P14__Relapse	U1
MultiLin-GMP-1__P14__Relapse	U1
MultiLin-GMP-2__P14__Relapse	U1
NK-Mature__P14__Relapse	U1
T CD8 Naive__P14__Relapse	U1
Mono-1__P13__Diagnosis	U1
MAIT__AML6	U1
MPP-MEP__P13__Diagnosis	U1
NK-Mature__220882__Relapse	U1
Multilin-2__220882__Relapse	U1
Multilin-1__220882__Relapse	U1
MultiLin-GMP-3__220882__Relapse	U1
MPP-MEP__220882__Relapse	U1
MEP-Eryth-2__220882__Relapse	U1
MEP-Eryth-1__220882__Relapse	U1
MEP-1__220882__Relapse	U1
MDP-2__220882__Relapse	U1
MDP-1__220882__Relapse	U1
MAIT__220882__Relapse	U1
LMPP-2__220882__Relapse	U1
LMPP-1-cycling__220882__Relapse	U1
Intermediate Mono-3__220882__Relapse	U1
Intermediate Mono-2__220882__Relapse	U1
MPP-MEP__P12__Diagnosis	U1
MultiLin-GMP-1__P12__Diagnosis	U1
CD8 TEM__220882__Relapse	U1
CD4 TCM__220882__Relapse	U1
pre-DC-3__220882__Diagnosis	U1
pre-DC-2__220882__Diagnosis	U1
pre-DC-1__220882__Diagnosis	U1
pDC__220882__Diagnosis	U1
NK-Mature__P12__Diagnosis	U1
cMOP__220882__Diagnosis	U1
Non-Classical Mono-2__220882__Relapse	U1
cDC2-2__220882__Diagnosis	U1
T CD4 Naive-1__220882__Relapse	U1
cDC1__220882__Relapse	U1
CD4 TCM__P12__Diagnosis	U1
pre-DC-3__220882__Treatment	U1
pre-DC-1__220882__Treatment	U1
cDC2-2__220882__Treatment	U1
cDC2-1__220882__Treatment	U1
cDC1__220882__Treatment	U1
T CD8 Naive__220882__Treatment	U1
T CD4 Naive-1__220882__Treatment	U1
LMPP-1__P12__Diagnosis	U1
Non-Classical Mono-2__220882__Treatment	U1
NK-Mature__220882__Treatment	U1
Myeloid intermediate 2__220882__Treatment	U1
Mono-2__220882__Treatment	U1
MAIT__220882__Treatment	U1
Intermediate Mono-3__220882__Treatment	U1
Intermediate Mono-2__220882__Treatment	U1
Intermediate Mono-1__220882__Treatment	U1
Classical-Mono__220882__Treatment	U1
CD8 TEM__220882__Treatment	U1
CD4 TCM__220882__Treatment	U1
B Memory-2__220882__Treatment	U1
pre-DC-3__220882__Relapse	U1
LMPP-1-cycling__P12__Diagnosis	U1
cDC2-2__220882__Relapse	U1
cDC2-1__220882__Relapse	U1
T CD8 Naive__220882__Relapse	U1
cMOP__P15__Diagnosis	U1
cDC2-1__220882__Diagnosis	U1
