	cluster
MultiLin-GMP-3__5381v2_AfInv16_P49M	U10
T CD4 Naive-1__P18__Diagnosis	U10
Pro-B-3__P18__Diagnosis	U10
Myeloid intermediate 1__P18__Diagnosis	U10
BMCP-1__P18__Diagnosis	U10
MultiLin-GMP-1__P17__Relapse	U10
ERP-7__P17__Relapse	U10
CD4 TCM__P17__Relapse	U10
preNeu__P17__Diagnosis	U10
pre-DC-2__P17__Diagnosis	U10
immNeu-1__P17__Diagnosis	U10
cMOP__P17__Diagnosis	U10
T CD4 Naive-2__P18__Diagnosis	U10
T CD8 Naive__P17__Diagnosis	U10
T CD4 Naive-1__Pt-20_Dx	U10
T CD4 Naive-1__P17__Diagnosis	U10
Non-Classical Mono-2__P17__Diagnosis	U10
Myeloid intermediate 3__P17__Diagnosis	U10
Mono-1__P17__Diagnosis	U10
MEP-2__P17__Diagnosis	U10
MAIT__P17__Diagnosis	U10
CD8 TEM__P17__Diagnosis	U10
CD4 TCM__P17__Diagnosis	U10
ERP-8__P16__Relapse	U10
MDP-2__AML2	U10
T CD4 Naive-2__P17__Diagnosis	U10
T CD8 Naive__P18__Diagnosis	U10
T CD4 Naive-1__10DD-1058__Treatment	U10
preNeu__1239_EST8_44M_N1c	U10
MEP-2__1239_EST8_44M_N1c	U10
MEP-Eryth-2__1239_EST8_44M_N1c	U10
MKP-early__1239_EST8_44M_N1c	U10
MPP-MEP__1239_EST8_44M_N1c	U10
Erythroblast-3__10DD-1010__Diagnosis	U10
Mono-1__1239_EST8_44M_N1c	U10
Mono-2__1239_EST8_44M_N1c	U10
MultiLin-GMP-3__1239_EST8_44M_N1c	U10
MEP-2__P18__Relapse	U10
Myeloid intermediate 2__1239_EST8_44M_N1c	U10
Myeloid intermediate 3__1239_EST8_44M_N1c	U10
LMPP-2__P18__Relapse	U10
cDC1__1239_EST8_44M_N1c	U10
cDC2-1__1239_EST8_44M_N1c	U10
BMCP-1__PT06__Diagnosis	U10
HSC-1__PT06__Diagnosis	U10
LMPP-1__PT06__Diagnosis	U10
cDC2-2__1239_EST8_44M_N1c	U10
preNeu__PT06__Diagnosis	U10
LMPP-1-cycling__P18__Relapse	U10
cDC2-2__PT08__Relapse	U10
immNeu-1__P18__Diagnosis	U10
pre-DC-1__1239_EST8_44M_N1c	U10
pre-DC-2__1239_EST8_44M_N1c	U10
pre-DC-3__1239_EST8_44M_N1c	U10
HSC-2__AML2	U10
MEP-1__1239_EST8_44M_N1c	U10
HSC-1__AML2	U10
CD4 TCM__AML2910	U10
LMPP-2__AML12	U10
LMPP-1__AML12	U10
BMCP-1__AML10	U10
T CD8 Naive__P13__Diagnosis	U10
Transitional-B-2__TALL3783	U10
T CD4 Naive-2__P13__Diagnosis	U10
T CD4 Naive-1__P13__Diagnosis	U10
MPP-MEP__P13__Diagnosis	U10
MPP-1__P13__Diagnosis	U10
LMPP-2__P13__Diagnosis	U10
ERP-8__P13__Diagnosis	U10
MDP-1__P13__Relapse	U10
ERP-7__P13__Diagnosis	U10
B Memory-2__P13__Diagnosis	U10
CD8 TEM__P12__Relapse	U10
Multilin-1__P12__Diagnosis	U10
T CD4 Naive-2__P11__Relapse	U10
CD4 TCM__P11__Relapse	U10
T CD4 Naive-2__P11__Diagnosis	U10
T CD4 Naive-1__P11__Diagnosis	U10
MAIT__P11__Diagnosis	U10
Erythroblast-3__P11__Diagnosis	U10
ERP-8__P11__Diagnosis	U10
CD8 TEM__P11__Diagnosis	U10
ERP-5__P13__Diagnosis	U10
MEP-2__AML12	U10
MPP-MEP__AML12	U10
LMPP-1-cycling__P14__Diagnosis	U10
ERP-7__P16__Relapse	U10
Plasma Cell__P16__Diagnosis	U10
ERP-8__P16__Diagnosis	U10
ERP-7__P16__Diagnosis	U10
immNeu-2__171_Af_N1c	U10
T CD4 Naive-2__P15__Relapse	U10
LMPP-1-cycling__P15__Relapse	U10
MPP-MEP__P15__Diagnosis	U10
MEP-2__P15__Diagnosis	U10
T CD8 Naive__P14__Relapse	U10
MEP-2__P14__Relapse	U10
Erythroblast-3__10DD-1009__Diagnosis	U10
LMPP-1__P14__Relapse	U10
MEP-1__AML1	U10
ERP-5__AML1	U10
ERP-8__P14__Relapse	U10
ERP-7__P14__Relapse	U10
ERP-5__P14__Relapse	U10
T CD4 Naive-2__P14__Diagnosis	U10
Multilin-1__P14__Diagnosis	U10
MultiLin-GMP-3__P14__Diagnosis	U10
MultiLin-GMP-2__P14__Diagnosis	U10
T CD4 Activated__1782_Aft36_P71F	U10
MPP-2__P14__Diagnosis	U10
LMPP-2__P14__Diagnosis	U10
LMPP-2__AML2910	U10
BMCP-1__AML055	U10
MDP-2__1239_EST8_44M_N1c	U10
LMPP-1__1239_EST8_44M_N1c	U10
LMPP-1-cycling__P21__Relapse	U10
MDP-2__P21__Relapse	U10
MPP-MEP__P21__Relapse	U10
MultiLin-GMP-2__P21__Relapse	U10
MultiLin-GMP-3__P21__Relapse	U10
Multilin-1__P21__Relapse	U10
Multilin-2__P21__Relapse	U10
Myeloid intermediate 1__P21__Relapse	U10
Myeloid intermediate 2__P21__Relapse	U10
MDP-2__AML5	U10
