pseudobulk	Sample	Dataset	final_program	score
B Memory-1__0018_Af_N1c	0018_Af_N1c	CCHMC	P2	0.967
BMCP-1__0018_Af_N1c	0018_Af_N1c	CCHMC	P7	0.903
CD4 TCM__0018_Af_N1c	0018_Af_N1c	CCHMC	P3	0.966
CD8 TEM__0018_Af_N1c	0018_Af_N1c	CCHMC	P3	0.96
Erythroblast-3__0018_Af_N1c	0018_Af_N1c	CCHMC	P6	0.894
Intermediate Mono-1__0018_Af_N1c	0018_Af_N1c	CCHMC	P14	0.882
Intermediate Mono-3__0018_Af_N1c	0018_Af_N1c	CCHMC	P14	0.95
LMPP-2__0018_Af_N1c	0018_Af_N1c	CCHMC	P14	0.94
MAIT__0018_Af_N1c	0018_Af_N1c	CCHMC	P3	0.95
MDP-1__0018_Af_N1c	0018_Af_N1c	CCHMC	P3	0.946
MEP-2__0018_Af_N1c	0018_Af_N1c	CCHMC	P14	0.949
MPP-MEP__0018_Af_N1c	0018_Af_N1c	CCHMC	P3	0.942
Mono-1__0018_Af_N1c	0018_Af_N1c	CCHMC	P14	0.945
Mono-2__0018_Af_N1c	0018_Af_N1c	CCHMC	P14	0.946
MultiLin-GMP-1__0018_Af_N1c	0018_Af_N1c	CCHMC	P3	0.957
NK-Mature__0018_Af_N1c	0018_Af_N1c	CCHMC	P3	0.952
Non-Classical Mono-2__0018_Af_N1c	0018_Af_N1c	CCHMC	P3	0.915
T CD4 Activated__0018_Af_N1c	0018_Af_N1c	CCHMC	P3	0.927
T CD4 Naive-1__0018_Af_N1c	0018_Af_N1c	CCHMC	P3	0.955
cDC1__0018_Af_N1c	0018_Af_N1c	CCHMC	P14	0.939
immNeu-1__0018_Af_N1c	0018_Af_N1c	CCHMC	P14	0.944
immNeu-2__0018_Af_N1c	0018_Af_N1c	CCHMC	P7	0.902
preNeu__0018_Af_N1c	0018_Af_N1c	CCHMC	P6	0.947
B Memory-1__0316_E_N1c	0316_E_N1c	CCHMC	P8	0.958
CD4 TCM__0316_E_N1c	0316_E_N1c	CCHMC	P14	0.958
CD8 TEM__0316_E_N1c	0316_E_N1c	CCHMC	P14	0.938
LMPP-2__0316_E_N1c	0316_E_N1c	CCHMC	P14	0.911
MEP-2__0316_E_N1c	0316_E_N1c	CCHMC	P14	0.947
MPP-MEP__0316_E_N1c	0316_E_N1c	CCHMC	P14	0.954
MultiLin-GMP-1__0316_E_N1c	0316_E_N1c	CCHMC	P7	0.917
T CD4 Activated__0316_E_N1c	0316_E_N1c	CCHMC	P3	0.948
T CD4 Naive-1__0316_E_N1c	0316_E_N1c	CCHMC	P3	0.961
preNeu__0316_E_N1c	0316_E_N1c	CCHMC	P14	0.948
B Memory-1__0817_E_N1c	0817_E_N1c	CCHMC	P2	0.972
CD4 TCM__0817_E_N1c	0817_E_N1c	CCHMC	P8	0.967
CD8 TEM__0817_E_N1c	0817_E_N1c	CCHMC	P2	0.953
Intermediate Mono-1__0817_E_N1c	0817_E_N1c	CCHMC	P3	0.956
Intermediate Mono-2__0817_E_N1c	0817_E_N1c	CCHMC	P14	0.955
Intermediate Mono-3__0817_E_N1c	0817_E_N1c	CCHMC	P14	0.953
MAIT__0817_E_N1c	0817_E_N1c	CCHMC	P0	0.952
MPP-MEP__0817_E_N1c	0817_E_N1c	CCHMC	P14	0.949
Mono-1__0817_E_N1c	0817_E_N1c	CCHMC	P14	0.944
Mono-2__0817_E_N1c	0817_E_N1c	CCHMC	P14	0.95
MultiLin-GMP-1__0817_E_N1c	0817_E_N1c	CCHMC	P14	0.958
Myeloid intermediate 3__0817_E_N1c	0817_E_N1c	CCHMC	P14	0.923
NK-Mature__0817_E_N1c	0817_E_N1c	CCHMC	P2	0.944
Non-Classical Mono-2__0817_E_N1c	0817_E_N1c	CCHMC	P3	0.955
T CD4 Naive-1__0817_E_N1c	0817_E_N1c	CCHMC	P3	0.966
cDC2-1__0817_E_N1c	0817_E_N1c	CCHMC	P14	0.952
cDC2-2__0817_E_N1c	0817_E_N1c	CCHMC	P14	0.959
cMOP__0817_E_N1c	0817_E_N1c	CCHMC	P14	0.898
B Memory-1__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P3	0.942
BMCP-1__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P13	0.924
CD4 TCM__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P6	0.962
CD8 TEM__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P2	0.942
Classical-Mono__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P0	0.94
Intermediate Mono-1__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P0	0.958
Intermediate Mono-2__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P3	0.952
Intermediate Mono-3__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P3	0.961
LMPP-1-cycling__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P13	0.965
LMPP-2__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P13	0.958
MAIT__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P6	0.942
MDP-1__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P13	0.951
MDP-2__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P13	0.959
MEP-2__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P13	0.93
MPP-MEP__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P13	0.964
Mono-1__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P8	0.955
Mono-2__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P14	0.957
MultiLin-GMP-1__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P13	0.977
MultiLin-GMP-2__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P13	0.955
Myeloid intermediate 1__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P14	0.944
Myeloid intermediate 2__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P13	0.972
Myeloid intermediate 3__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P8	0.951
Non-Classical Mono-2__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P3	0.943
T CD4 Activated__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P2	0.951
T CD4 Naive-1__1009_AfInv16_29M	1009_AfInv16_29M	CCHMC	P7	0.951
