SampleID	0	ASDC	B Memory-1	B Memory-2	BMCP-1	BMCP-2	CD4 TCM	CD8 TEM	CLP	Classical-Mono	ERP-1	ERP-2	ERP-3	ERP-4	ERP-5	ERP-6	ERP-7	ERP-8	Erythroblast-1	Erythroblast-2	Erythroblast-3	HSC-1	HSC-2	Intermediate Mono-1	Intermediate Mono-2	Intermediate Mono-3	LMPP-1	LMPP-1-cycling	LMPP-2	MAIT	MDP-1	MDP-2	MDP-3	MDP-4	MDP-5	MDP-6	MEP-1	MEP-2	MEP-Eryth-1	MEP-Eryth-2	MK-Platelet	MKP-early	MKP-late	MPP-1	MPP-2	MPP-MEP	MSC Fibroblast-1	MSC Fibroblast-2	Mac	Mono-1	Mono-2	MultiLin-GMP-1	MultiLin-GMP-2	MultiLin-GMP-3	Multilin-1	Multilin-2	Myeloid intermediate 1	Myeloid intermediate 2	Myeloid intermediate 3	NK-Mature	Non-Classical Mono-1	Non-Classical Mono-2	Osteoblast	Plasma Cell	Pro-B-1	Pro-B-2	Pro-B-3	Pro-B-Early	Pro-B-Early-cycling	Pro-B-cycling-1	Pro-B-cycling-2	Stromal Vascular	T CD4 Activated	T CD4 Naive-1	T CD4 Naive-2	T CD8 Naive	Transitional-B-1	Transitional-B-2	cDC1	cDC2-1	cDC2-2	cMOP	immNeu-1	immNeu-2	pDC	pre-B	pre-DC-1	pre-DC-2	pre-DC-3	preNeu
3v2:GSM3901485	0	0	14	0	30	3	0	1	114	0	136	39	4	18	4	1	1	0	0	0	0	488	2751	11	2	2	500	724	428	0	15	77	14	20	5	15	106	126	35	70	0	27	4	2360	382	691	3	0	1	0	1	176	435	130	554	265	94	117	32	1	0	1	1	1	119	2	1013	20	20	95	171	0	1	1	0	0	15	22	3	0	1	0	36	0	4	2	0	11	0	298
3v2:GSM3901486	0	0	13	0	21	6	0	1	115	0	128	44	6	17	3	2	1	0	0	0	0	750	2510	9	2	1	535	559	371	1	18	80	15	20	4	13	111	120	35	61	0	25	4	2132	487	610	1	0	0	0	1	150	465	128	506	252	101	105	29	1	0	1	0	0	121	5	991	24	23	84	171	1	0	1	0	0	15	17	1	0	2	0	55	0	6	2	0	10	0	288
3v2:GSM3901487	0	0	0	0	53	2	0	0	37	0	188	79	3	36	3	13	0	0	0	0	0	78	1253	0	0	1	258	176	131	0	28	59	27	19	2	7	51	149	19	19	0	19	2	667	205	669	0	0	0	2	0	55	207	31	132	71	21	36	13	0	0	0	0	0	59	49	147	25	13	60	77	0	0	0	0	0	8	7	0	0	0	1	12	0	1	1	0	2	1	132
3v2:GSM3901488	0	1	0	0	50	3	0	0	115	0	251	102	32	74	19	51	7	1	0	0	0	24	201	1	0	0	499	149	135	0	25	106	33	24	9	18	104	197	32	51	0	41	1	519	242	604	0	0	0	6	0	33	316	78	210	98	81	82	64	0	0	0	0	0	41	21	26	32	12	93	47	0	0	0	0	0	10	4	27	1	0	8	76	0	4	0	4	7	2	272
3v2:GSM4874417	0	1	38	38	3	0	81	54	3	29	1	2	0	1	2	4	3	7	1	1	0	0	0	6	43	8	4	4	0	38	0	3	1	0	0	0	1	2	1	0	0	0	1	7	0	2	0	0	0	3	11	0	3	1	2	0	0	3	0	154	0	8	0	19	1	2	4	0	0	0	1	0	0	342	33	149	2	0	4	6	2	0	0	0	6	16	2	1	4	5
3v3:adult_bone_marrow_1	0	19	1	0	104	19	0	0	106	1	221	100	1	155	124	88	105	31	0	0	0	18	615	4	2	2	115	239	102	0	41	51	87	27	14	35	88	352	82	55	0	70	0	695	35	469	2	0	0	60	13	118	199	61	136	51	160	86	121	0	0	0	0	0	13	0	31	18	14	8	4	0	0	0	0	0	0	1	57	14	2	44	108	4	70	0	25	21	15	365
CCHMC:0018_Af_N1c	0	0	184	1	11	0	126	56	0	0	0	0	0	0	0	0	0	4	2	0	11	1	4	10	0	88	2	1	23	31	69	5	0	0	0	0	3	75	0	2	0	1	0	1	1	72	1	0	0	25	32	1107	2	0	1	0	7	7	8	53	1	12	0	0	0	0	0	0	0	0	0	0	15	29	0	3	0	0	21	0	1	0	14	10	0	0	0	1	0	13
CCHMC:0316_E_N1c	0	0	113	0	7	0	79	31	0	4	1	0	0	0	0	0	0	3	1	0	2	0	14	4	0	5	7	5	10	6	6	0	0	0	0	0	4	216	1	4	0	6	0	1	0	189	0	0	0	4	3	6344	4	0	2	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	43	107	0	4	0	0	1	2	0	0	7	3	0	1	0	0	0	34
CCHMC:0817_E_N1c	0	0	160	2	1	0	127	34	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	554	350	3159	0	1	34	39	143	20	0	0	0	0	0	4	0	0	0	1	0	1	0	36	0	0	0	297	449	4185	0	1	2	0	15	13	150	25	0	407	0	1	0	0	0	0	0	0	0	0	8	106	0	1	0	0	237	166	219	14	2	1	0	0	0	7	9	9
CCHMC:1009_AfInv16_29M	0	1	27	2	28	0	53	32	0	24	0	0	0	0	0	0	0	0	2	0	0	0	3	1019	58	1178	4	67	50	26	85	39	1	0	0	2	2	13	1	3	0	0	0	2	2	203	0	0	0	381	416	1319	10	2	7	0	31	144	92	6	1	252	0	1	0	0	0	0	0	0	0	0	24	34	0	11	0	0	178	147	381	36	4	2	2	0	1	41	4	40
