loaded Composition  90 feat
loaded RNA          2000 feat
loaded ADT          129 feat
loaded Lipid        625 feat
loaded Metabolite   1084 feat
loaded GRN          7486 feat
loaded LSC          4 feat
loaded Cell-comm    141101 feat

mutation      pos  logL2   linSVM  shrLDA  PLS     RF       FUSEbst single*
complex         4    1.00    0.97    0.94    0.97    0.95      1.00    0.99
inv16           4    0.91    0.98    0.87    0.92    0.98      0.98    0.94
trisomy8        5    0.96    0.90    0.87    0.93    0.80      0.96    0.98
DNMT3A          8    0.73    0.76    0.78    0.78    0.61      0.78    0.72
FLT3           10    0.71    0.80    0.79    0.80    0.57      0.80    0.76
FLT3-ITD        7    0.83    0.89    0.89    0.91    0.54      0.91    0.85
FLT3-TKD        4    0.93    0.69    0.72    0.59    0.98      0.98    0.95
IDH1            3    0.84    0.70    0.71    0.70    0.69      0.84    0.91
IDH2            6    0.62    0.59    0.54    0.61    0.57      0.62    0.70
NPM1           12    0.96    0.92    0.90    0.95    0.95      0.96    0.98
NRAS            5    0.64    0.59    0.64    0.58    0.61      0.64    0.72
PHIP            3    0.86    0.81    0.88    0.91    0.90      0.91    0.88
RUNX1           5    0.91    0.98    0.98    0.99    0.99      0.99    1.00
SRSF2           5    0.70    0.75    0.73    0.74    0.65      0.75    0.72
TET2            9    0.76    0.83    0.84    0.84    0.68      0.84    0.79
TP53            4    0.77    0.76    0.78    0.75    0.78      0.78    0.78
inv(16)_CBFB-   4    0.91    0.98    0.87    0.92    0.98      0.98    0.94

MEAN  early-fusion(best model) 0.866   vs  best-single-modality(logL2) 0.861   delta +0.005

EARLY FUSION OK
