modality	mutation	model	npos	auc
ADT	cyto_complex	logL2	4	0.7613636363636364
ADT	cyto_complex	logL1	4	0.75
ADT	cyto_complex	elastic	4	0.7613636363636362
ADT	cyto_complex	linSVM	4	0.75
ADT	cyto_complex	shrLDA	4	0.7159090909090909
ADT	cyto_complex	PLS	4	0.6477272727272727
ADT	cyto_complex	RF	4	0.8352272727272727
ADT	cyto_complex	HistGB	4	0.9318181818181818
ADT	cyto_complex	NaiveB	4	0.75
ADT	cyto_complex	kNN	4	0.7670454545454546
ADT	cyto_complex	MLP	4	0.5795454545454546
ADT	cyto_inv16	logL2	4	0.9431818181818181
ADT	cyto_inv16	logL1	4	0.9318181818181818
ADT	cyto_inv16	elastic	4	0.9431818181818181
ADT	cyto_inv16	linSVM	4	0.9772727272727273
ADT	cyto_inv16	shrLDA	4	0.9886363636363636
ADT	cyto_inv16	PLS	4	1.0
ADT	cyto_inv16	RF	4	0.9090909090909091
ADT	cyto_inv16	HistGB	4	0.7386363636363636
ADT	cyto_inv16	NaiveB	4	0.9715909090909092
ADT	cyto_inv16	kNN	4	0.9772727272727273
ADT	cyto_inv16	MLP	4	0.5113636363636364
ADT	cyto_trisomy8	logL2	5	0.6952380952380952
ADT	cyto_trisomy8	logL1	5	0.638095238095238
ADT	cyto_trisomy8	elastic	5	0.6476190476190476
ADT	cyto_trisomy8	linSVM	5	0.7523809523809524
ADT	cyto_trisomy8	shrLDA	5	0.8857142857142858
ADT	cyto_trisomy8	PLS	5	0.8571428571428571
ADT	cyto_trisomy8	RF	5	0.6857142857142858
ADT	cyto_trisomy8	HistGB	5	0.6285714285714286
ADT	cyto_trisomy8	NaiveB	5	0.5
ADT	cyto_trisomy8	kNN	5	0.41428571428571426
ADT	cyto_trisomy8	MLP	5	0.6095238095238095
ADT	mut_DNMT3A	logL2	8	0.6527777777777778
ADT	mut_DNMT3A	logL1	8	0.5902777777777778
ADT	mut_DNMT3A	elastic	8	0.6458333333333333
ADT	mut_DNMT3A	linSVM	8	0.6597222222222223
ADT	mut_DNMT3A	shrLDA	8	0.638888888888889
ADT	mut_DNMT3A	PLS	8	0.6111111111111112
ADT	mut_DNMT3A	RF	8	0.607638888888889
ADT	mut_DNMT3A	HistGB	8	0.7569444444444445
ADT	mut_DNMT3A	NaiveB	8	0.6770833333333334
ADT	mut_DNMT3A	kNN	8	0.4756944444444445
ADT	mut_DNMT3A	MLP	8	0.5208333333333334
ADT	mut_FLT3	logL2	10	0.65625
ADT	mut_FLT3	logL1	10	0.6375
ADT	mut_FLT3	elastic	10	0.675
ADT	mut_FLT3	linSVM	10	0.675
ADT	mut_FLT3	shrLDA	10	0.61875
ADT	mut_FLT3	PLS	10	0.6375000000000001
ADT	mut_FLT3	RF	10	0.54375
ADT	mut_FLT3	HistGB	10	0.61875
ADT	mut_FLT3	NaiveB	10	0.41875000000000007
ADT	mut_FLT3	kNN	10	0.509375
ADT	mut_FLT3	MLP	10	0.375
ADT	mut_FLT3-ITD	logL2	7	0.849624060150376
ADT	mut_FLT3-ITD	logL1	7	0.7593984962406015
ADT	mut_FLT3-ITD	elastic	7	0.8571428571428571
ADT	mut_FLT3-ITD	linSVM	7	0.8872180451127819
ADT	mut_FLT3-ITD	shrLDA	7	0.8721804511278195
ADT	mut_FLT3-ITD	PLS	7	0.8270676691729324
ADT	mut_FLT3-ITD	RF	7	0.5977443609022557
ADT	mut_FLT3-ITD	HistGB	7	0.7293233082706767
ADT	mut_FLT3-ITD	NaiveB	7	0.518796992481203
ADT	mut_FLT3-ITD	kNN	7	0.44360902255639095
ADT	mut_FLT3-ITD	MLP	7	0.43609022556390975
ADT	mut_FLT3-TKD	logL2	4	0.9090909090909091
ADT	mut_FLT3-TKD	logL1	4	0.9204545454545453
ADT	mut_FLT3-TKD	elastic	4	0.9204545454545454
ADT	mut_FLT3-TKD	linSVM	4	0.8863636363636364
ADT	mut_FLT3-TKD	shrLDA	4	0.8409090909090909
ADT	mut_FLT3-TKD	PLS	4	0.8522727272727273
ADT	mut_FLT3-TKD	RF	4	0.8352272727272727
ADT	mut_FLT3-TKD	HistGB	4	0.8863636363636364
ADT	mut_FLT3-TKD	NaiveB	4	0.8181818181818182
ADT	mut_FLT3-TKD	kNN	4	0.9545454545454546
ADT	mut_FLT3-TKD	MLP	4	0.20454545454545453
ADT	mut_IDH1	logL2	3	0.6666666666666667
ADT	mut_IDH1	logL1	3	0.5507246376811594
ADT	mut_IDH1	elastic	3	0.6521739130434783
ADT	mut_IDH1	linSVM	3	0.681159420289855
ADT	mut_IDH1	shrLDA	3	0.8115942028985508
ADT	mut_IDH1	PLS	3	0.8405797101449276
