modality	mutation	model	npos	auc
Composition	cyto_complex	logL2	4	0.5795454545454546
Composition	cyto_complex	logL1	4	0.6818181818181819
Composition	cyto_complex	elastic	4	0.6022727272727273
Composition	cyto_complex	linSVM	4	0.5681818181818181
Composition	cyto_complex	shrLDA	4	0.6022727272727273
Composition	cyto_complex	PLS	4	0.5681818181818182
Composition	cyto_complex	RF	4	0.6761363636363636
Composition	cyto_complex	HistGB	4	0.7954545454545454
Composition	cyto_complex	NaiveB	4	0.4772727272727273
Composition	cyto_complex	kNN	4	0.5965909090909091
Composition	cyto_complex	MLP	4	0.7386363636363636
Composition	cyto_inv16	logL2	4	0.9090909090909091
Composition	cyto_inv16	logL1	4	0.8863636363636365
Composition	cyto_inv16	elastic	4	0.9204545454545454
Composition	cyto_inv16	linSVM	4	0.8977272727272727
Composition	cyto_inv16	shrLDA	4	0.8977272727272727
Composition	cyto_inv16	PLS	4	0.9090909090909091
Composition	cyto_inv16	RF	4	1.0
Composition	cyto_inv16	HistGB	4	0.9659090909090909
Composition	cyto_inv16	NaiveB	4	0.9715909090909091
Composition	cyto_inv16	kNN	4	0.9659090909090908
Composition	cyto_inv16	MLP	4	0.3181818181818182
Composition	cyto_trisomy8	logL2	5	0.5333333333333334
Composition	cyto_trisomy8	logL1	5	0.5047619047619047
Composition	cyto_trisomy8	elastic	5	0.4857142857142857
Composition	cyto_trisomy8	linSVM	5	0.5428571428571429
Composition	cyto_trisomy8	shrLDA	5	0.39047619047619053
Composition	cyto_trisomy8	PLS	5	0.34285714285714286
Composition	cyto_trisomy8	RF	5	0.580952380952381
Composition	cyto_trisomy8	HistGB	5	0.6666666666666667
Composition	cyto_trisomy8	NaiveB	5	0.480952380952381
Composition	cyto_trisomy8	kNN	5	0.4285714285714286
Composition	cyto_trisomy8	MLP	5	0.638095238095238
Composition	mut_DNMT3A	logL2	8	0.5
Composition	mut_DNMT3A	logL1	8	0.4652777777777778
Composition	mut_DNMT3A	elastic	8	0.5
Composition	mut_DNMT3A	linSVM	8	0.4513888888888889
Composition	mut_DNMT3A	shrLDA	8	0.47916666666666674
Composition	mut_DNMT3A	PLS	8	0.4166666666666667
Composition	mut_DNMT3A	RF	8	0.5972222222222223
Composition	mut_DNMT3A	HistGB	8	0.6041666666666666
Composition	mut_DNMT3A	NaiveB	8	0.5208333333333333
Composition	mut_DNMT3A	kNN	8	0.6423611111111112
Composition	mut_DNMT3A	MLP	8	0.5069444444444444
Composition	mut_FLT3	logL2	10	0.6
Composition	mut_FLT3	logL1	10	0.5625
Composition	mut_FLT3	elastic	10	0.5875
Composition	mut_FLT3	linSVM	10	0.5874999999999999
Composition	mut_FLT3	shrLDA	10	0.5375000000000001
