modality	mutation	model	npos	auc
LSC	cyto_complex	logL2	4	0.7727272727272727
LSC	cyto_complex	logL1	4	0.7272727272727273
LSC	cyto_complex	elastic	4	0.7613636363636364
LSC	cyto_complex	linSVM	4	0.7613636363636364
LSC	cyto_complex	shrLDA	4	0.75
LSC	cyto_complex	PLS	4	0.22727272727272727
LSC	cyto_complex	RF	4	0.6306818181818182
LSC	cyto_complex	HistGB	4	0.6931818181818181
LSC	cyto_complex	NaiveB	4	0.5795454545454546
LSC	cyto_complex	kNN	4	0.5113636363636364
LSC	cyto_complex	MLP	4	0.7272727272727272
LSC	cyto_inv16	logL2	4	0.8409090909090909
LSC	cyto_inv16	logL1	4	0.5795454545454546
LSC	cyto_inv16	elastic	4	0.7954545454545454
LSC	cyto_inv16	linSVM	4	0.8409090909090909
LSC	cyto_inv16	shrLDA	4	0.8181818181818181
LSC	cyto_inv16	PLS	4	0.42613636363636365
LSC	cyto_inv16	RF	4	0.42613636363636365
LSC	cyto_inv16	HistGB	4	0.40909090909090906
LSC	cyto_inv16	NaiveB	4	0.48863636363636365
LSC	cyto_inv16	kNN	4	0.4659090909090909
LSC	cyto_inv16	MLP	4	0.5227272727272727
LSC	cyto_trisomy8	logL2	5	0.5714285714285715
LSC	cyto_trisomy8	logL1	5	0.5428571428571429
LSC	cyto_trisomy8	elastic	5	0.5714285714285715
LSC	cyto_trisomy8	linSVM	5	0.5619047619047619
LSC	cyto_trisomy8	shrLDA	5	0.6190476190476191
LSC	cyto_trisomy8	PLS	5	0.44761904761904764
LSC	cyto_trisomy8	RF	5	0.5857142857142857
LSC	cyto_trisomy8	HistGB	5	0.47619047619047616
LSC	cyto_trisomy8	NaiveB	5	0.45714285714285713
LSC	cyto_trisomy8	kNN	5	0.5857142857142857
LSC	cyto_trisomy8	MLP	5	0.6190476190476191
LSC	mut_DNMT3A	logL2	8	0.45138888888888884
LSC	mut_DNMT3A	logL1	8	0.4861111111111111
LSC	mut_DNMT3A	elastic	8	0.46527777777777773
LSC	mut_DNMT3A	linSVM	8	0.45138888888888884
LSC	mut_DNMT3A	shrLDA	8	0.4375
LSC	mut_DNMT3A	PLS	8	0.40277777777777773
LSC	mut_DNMT3A	RF	8	0.42708333333333337
LSC	mut_DNMT3A	HistGB	8	0.4444444444444445
LSC	mut_DNMT3A	NaiveB	8	0.47916666666666674
LSC	mut_DNMT3A	kNN	8	0.3993055555555556
LSC	mut_DNMT3A	MLP	8	0.6458333333333333
LSC	mut_FLT3	logL2	10	0.5125
LSC	mut_FLT3	logL1	10	0.5125
LSC	mut_FLT3	elastic	10	0.5125
LSC	mut_FLT3	linSVM	10	0.5062500000000001
LSC	mut_FLT3	shrLDA	10	0.5562499999999999
LSC	mut_FLT3	PLS	10	0.43124999999999997
LSC	mut_FLT3	RF	10	0.6499999999999999
LSC	mut_FLT3	HistGB	10	0.75
LSC	mut_FLT3	NaiveB	10	0.53125
LSC	mut_FLT3	kNN	10	0.6000000000000001
LSC	mut_FLT3	MLP	10	0.5499999999999999
LSC	mut_FLT3-ITD	logL2	7	0.5714285714285714
LSC	mut_FLT3-ITD	logL1	7	0.5864661654135339
LSC	mut_FLT3-ITD	elastic	7	0.46616541353383456
LSC	mut_FLT3-ITD	linSVM	7	0.5714285714285714
LSC	mut_FLT3-ITD	shrLDA	7	0.6015037593984962
LSC	mut_FLT3-ITD	PLS	7	0.5112781954887218
LSC	mut_FLT3-ITD	RF	7	0.7293233082706767
