modality	mutation	model	npos	auc
Lipid	cyto_complex	logL2	4	0.8863636363636362
Lipid	cyto_complex	logL1	4	0.8409090909090908
Lipid	cyto_complex	elastic	4	0.8522727272727273
Lipid	cyto_complex	linSVM	4	0.8863636363636362
Lipid	cyto_complex	shrLDA	4	0.9431818181818181
Lipid	cyto_complex	PLS	4	0.9431818181818181
Lipid	cyto_complex	RF	4	0.8409090909090909
Lipid	cyto_complex	HistGB	4	0.8409090909090909
Lipid	cyto_complex	NaiveB	4	0.75
Lipid	cyto_complex	kNN	4	0.8181818181818181
Lipid	cyto_complex	MLP	4	0.6704545454545455
Lipid	cyto_inv16	logL2	4	0.9090909090909091
Lipid	cyto_inv16	logL1	4	0.9772727272727273
Lipid	cyto_inv16	elastic	4	0.9545454545454546
Lipid	cyto_inv16	linSVM	4	0.9772727272727273
Lipid	cyto_inv16	shrLDA	4	0.9545454545454545
Lipid	cyto_inv16	PLS	4	0.9772727272727273
Lipid	cyto_inv16	RF	4	0.8522727272727273
Lipid	cyto_inv16	HistGB	4	0.9090909090909091
Lipid	cyto_inv16	NaiveB	4	0.8409090909090908
Lipid	cyto_inv16	kNN	4	0.8693181818181818
Lipid	cyto_inv16	MLP	4	0.8409090909090908
Lipid	cyto_trisomy8	logL2	5	0.9142857142857144
Lipid	cyto_trisomy8	logL1	5	0.7142857142857143
Lipid	cyto_trisomy8	elastic	5	0.761904761904762
Lipid	cyto_trisomy8	linSVM	5	0.9142857142857144
Lipid	cyto_trisomy8	shrLDA	5	0.9238095238095239
Lipid	cyto_trisomy8	PLS	5	0.9142857142857143
Lipid	cyto_trisomy8	RF	5	0.7523809523809524
Lipid	cyto_trisomy8	HistGB	5	0.7523809523809524
Lipid	cyto_trisomy8	NaiveB	5	0.6190476190476191
Lipid	cyto_trisomy8	kNN	5	0.6238095238095239
Lipid	cyto_trisomy8	MLP	5	0.580952380952381
Lipid	mut_DNMT3A	logL2	8	0.7291666666666667
Lipid	mut_DNMT3A	logL1	8	0.6805555555555556
Lipid	mut_DNMT3A	elastic	8	0.7569444444444444
Lipid	mut_DNMT3A	linSVM	8	0.826388888888889
Lipid	mut_DNMT3A	shrLDA	8	0.8819444444444444
Lipid	mut_DNMT3A	PLS	8	0.8194444444444444
Lipid	mut_DNMT3A	RF	8	0.5625
