modality	mutation	model	npos	auc
Metabolite	cyto_complex	logL2	4	0.9431818181818181
Metabolite	cyto_complex	logL1	4	0.8977272727272727
Metabolite	cyto_complex	elastic	4	0.875
Metabolite	cyto_complex	linSVM	4	0.8863636363636362
Metabolite	cyto_complex	shrLDA	4	0.9318181818181819
Metabolite	cyto_complex	PLS	4	0.9090909090909091
Metabolite	cyto_complex	RF	4	0.9431818181818182
Metabolite	cyto_complex	HistGB	4	0.8977272727272727
Metabolite	cyto_complex	NaiveB	4	0.8181818181818181
Metabolite	cyto_complex	kNN	4	0.8238636363636364
Metabolite	cyto_complex	MLP	4	0.8181818181818182
Metabolite	cyto_inv16	logL2	4	0.8409090909090909
Metabolite	cyto_inv16	logL1	4	0.8522727272727273
Metabolite	cyto_inv16	elastic	4	0.8636363636363636
Metabolite	cyto_inv16	linSVM	4	0.7840909090909091
Metabolite	cyto_inv16	shrLDA	4	0.7727272727272727
Metabolite	cyto_inv16	PLS	4	0.9545454545454545
Metabolite	cyto_inv16	RF	4	0.7215909090909091
Metabolite	cyto_inv16	HistGB	4	0.875
Metabolite	cyto_inv16	NaiveB	4	0.6931818181818181
Metabolite	cyto_inv16	kNN	4	0.7272727272727272
Metabolite	cyto_inv16	MLP	4	0.7045454545454546
Metabolite	cyto_trisomy8	logL2	5	0.980952380952381
Metabolite	cyto_trisomy8	logL1	5	0.9619047619047619
Metabolite	cyto_trisomy8	elastic	5	0.9809523809523809
Metabolite	cyto_trisomy8	linSVM	5	0.9904761904761904
Metabolite	cyto_trisomy8	shrLDA	5	0.9428571428571428
Metabolite	cyto_trisomy8	PLS	5	0.9523809523809524
Metabolite	cyto_trisomy8	RF	5	0.7904761904761904
Metabolite	cyto_trisomy8	HistGB	5	0.8
Metabolite	cyto_trisomy8	NaiveB	5	0.6714285714285715
Metabolite	cyto_trisomy8	kNN	5	0.6523809523809524
Metabolite	cyto_trisomy8	MLP	5	0.6857142857142857
Metabolite	mut_DNMT3A	logL2	8	0.7361111111111112
Metabolite	mut_DNMT3A	logL1	8	0.7430555555555556
Metabolite	mut_DNMT3A	elastic	8	0.7291666666666667
Metabolite	mut_DNMT3A	linSVM	8	0.7152777777777778
Metabolite	mut_DNMT3A	shrLDA	8	0.7638888888888888
Metabolite	mut_DNMT3A	PLS	8	0.7916666666666667
Metabolite	mut_DNMT3A	RF	8	0.59375
Metabolite	mut_DNMT3A	HistGB	8	0.6666666666666666
Metabolite	mut_DNMT3A	NaiveB	8	0.5138888888888888
Metabolite	mut_DNMT3A	kNN	8	0.6493055555555556
Metabolite	mut_DNMT3A	MLP	8	0.4513888888888889
Metabolite	mut_FLT3	logL2	10	0.71875
Metabolite	mut_FLT3	logL1	10	0.74375
Metabolite	mut_FLT3	elastic	10	0.7125
Metabolite	mut_FLT3	linSVM	10	0.7625
Metabolite	mut_FLT3	shrLDA	10	0.7625
Metabolite	mut_FLT3	PLS	10	0.84375
Metabolite	mut_FLT3	RF	10	0.5875
Metabolite	mut_FLT3	HistGB	10	0.6625
Metabolite	mut_FLT3	NaiveB	10	0.65
Metabolite	mut_FLT3	kNN	10	0.5625
Metabolite	mut_FLT3	MLP	10	0.5625
Metabolite	mut_FLT3-ITD	logL2	7	0.8270676691729324
Metabolite	mut_FLT3-ITD	logL1	7	0.7218045112781954
Metabolite	mut_FLT3-ITD	elastic	7	0.7819548872180451
Metabolite	mut_FLT3-ITD	linSVM	7	0.887218045112782
Metabolite	mut_FLT3-ITD	shrLDA	7	0.8947368421052632
Metabolite	mut_FLT3-ITD	PLS	7	0.849624060150376
Metabolite	mut_FLT3-ITD	RF	7	0.5300751879699248
Metabolite	mut_FLT3-ITD	HistGB	7	0.6541353383458647
Metabolite	mut_FLT3-ITD	NaiveB	7	0.6390977443609023
Metabolite	mut_FLT3-ITD	kNN	7	0.7067669172932332
Metabolite	mut_FLT3-ITD	MLP	7	0.6842105263157895
Metabolite	mut_FLT3-TKD	logL2	4	0.9318181818181819
Metabolite	mut_FLT3-TKD	logL1	4	0.9431818181818182
Metabolite	mut_FLT3-TKD	elastic	4	0.9204545454545454
Metabolite	mut_FLT3-TKD	linSVM	4	0.8522727272727272
Metabolite	mut_FLT3-TKD	shrLDA	4	0.7272727272727273
Metabolite	mut_FLT3-TKD	PLS	4	0.8863636363636364
Metabolite	mut_FLT3-TKD	RF	4	0.8863636363636364
Metabolite	mut_FLT3-TKD	HistGB	4	0.8977272727272726
Metabolite	mut_FLT3-TKD	NaiveB	4	0.8636363636363636
Metabolite	mut_FLT3-TKD	kNN	4	0.8238636363636362
Metabolite	mut_FLT3-TKD	MLP	4	0.5568181818181819
Metabolite	mut_IDH1	logL2	3	0.7246376811594203
Metabolite	mut_IDH1	logL1	3	0.7536231884057971
Metabolite	mut_IDH1	elastic	3	0.7391304347826086
Metabolite	mut_IDH1	linSVM	3	0.681159420289855
Metabolite	mut_IDH1	shrLDA	3	0.7391304347826086
Metabolite	mut_IDH1	PLS	3	0.6376811594202898
Metabolite	mut_IDH1	RF	3	0.6666666666666666
Metabolite	mut_IDH1	HistGB	3	0.6231884057971014
Metabolite	mut_IDH1	NaiveB	3	0.5144927536231885
Metabolite	mut_IDH1	kNN	3	0.8405797101449275
Metabolite	mut_IDH1	MLP	3	0.6666666666666667
Metabolite	mut_IDH2	logL2	6	0.6666666666666667
Metabolite	mut_IDH2	logL1	6	0.6916666666666667
Metabolite	mut_IDH2	elastic	6	0.65
Metabolite	mut_IDH2	linSVM	6	0.65
Metabolite	mut_IDH2	shrLDA	6	0.6583333333333333
Metabolite	mut_IDH2	PLS	6	0.7166666666666667
Metabolite	mut_IDH2	RF	6	0.5375
Metabolite	mut_IDH2	HistGB	6	0.5249999999999999
Metabolite	mut_IDH2	NaiveB	6	0.4083333333333334
Metabolite	mut_IDH2	kNN	6	0.625
Metabolite	mut_IDH2	MLP	6	0.4583333333333333
Metabolite	mut_NPM1	logL2	12	0.9880952380952381
Metabolite	mut_NPM1	logL1	12	0.9583333333333333
Metabolite	mut_NPM1	elastic	12	0.9464285714285715
Metabolite	mut_NPM1	linSVM	12	0.9821428571428571
Metabolite	mut_NPM1	shrLDA	12	0.9583333333333333
Metabolite	mut_NPM1	PLS	12	0.9464285714285714
Metabolite	mut_NPM1	RF	12	0.9553571428571429
Metabolite	mut_NPM1	HistGB	12	0.8869047619047619
Metabolite	mut_NPM1	NaiveB	12	0.5297619047619048
Metabolite	mut_NPM1	kNN	12	0.8273809523809523
Metabolite	mut_NPM1	MLP	12	0.9047619047619048
Metabolite	mut_NRAS	logL2	5	0.5904761904761905
Metabolite	mut_NRAS	logL1	5	0.5619047619047619
Metabolite	mut_NRAS	elastic	5	0.580952380952381
Metabolite	mut_NRAS	linSVM	5	0.6666666666666666
Metabolite	mut_NRAS	shrLDA	5	0.6857142857142857
Metabolite	mut_NRAS	PLS	5	0.6952380952380952
Metabolite	mut_NRAS	RF	5	0.7380952380952381
Metabolite	mut_NRAS	HistGB	5	0.5047619047619049
Metabolite	mut_NRAS	NaiveB	5	0.5238095238095238
Metabolite	mut_NRAS	kNN	5	0.6380952380952382
Metabolite	mut_NRAS	MLP	5	0.5714285714285714
Metabolite	mut_PHIP	logL2	3	0.7826086956521738
Metabolite	mut_PHIP	logL1	3	0.8695652173913043
Metabolite	mut_PHIP	elastic	3	0.8115942028985508
Metabolite	mut_PHIP	linSVM	3	0.7681159420289856
Metabolite	mut_PHIP	shrLDA	3	0.927536231884058
Metabolite	mut_PHIP	PLS	3	0.927536231884058
Metabolite	mut_PHIP	RF	3	0.7898550724637682
Metabolite	mut_PHIP	HistGB	3	0.8405797101449275
Metabolite	mut_PHIP	NaiveB	3	0.717391304347826
Metabolite	mut_PHIP	kNN	3	0.7826086956521738
Metabolite	mut_PHIP	MLP	3	0.7101449275362319
Metabolite	mut_RUNX1	logL2	5	0.9428571428571428
Metabolite	mut_RUNX1	logL1	5	0.9238095238095239
Metabolite	mut_RUNX1	elastic	5	0.9238095238095239
Metabolite	mut_RUNX1	linSVM	5	0.980952380952381
Metabolite	mut_RUNX1	shrLDA	5	0.9714285714285715
Metabolite	mut_RUNX1	PLS	5	0.980952380952381
Metabolite	mut_RUNX1	RF	5	0.9476190476190476
Metabolite	mut_RUNX1	HistGB	5	0.8571428571428572
Metabolite	mut_RUNX1	NaiveB	5	0.7714285714285714
Metabolite	mut_RUNX1	kNN	5	0.7333333333333334
Metabolite	mut_RUNX1	MLP	5	0.7238095238095239
Metabolite	mut_SRSF2	logL2	5	0.6190476190476191
Metabolite	mut_SRSF2	logL1	5	0.4571428571428572
Metabolite	mut_SRSF2	elastic	5	0.49523809523809526
Metabolite	mut_SRSF2	linSVM	5	0.7142857142857143
Metabolite	mut_SRSF2	shrLDA	5	0.6952380952380953
Metabolite	mut_SRSF2	PLS	5	0.7809523809523811
Metabolite	mut_SRSF2	RF	5	0.5523809523809524
Metabolite	mut_SRSF2	HistGB	5	0.761904761904762
Metabolite	mut_SRSF2	NaiveB	5	0.480952380952381
Metabolite	mut_SRSF2	kNN	5	0.43333333333333335
Metabolite	mut_SRSF2	MLP	5	0.580952380952381
Metabolite	mut_TET2	logL2	9	0.6862745098039215
Metabolite	mut_TET2	logL1	9	0.6339869281045751
Metabolite	mut_TET2	elastic	9	0.6732026143790849
Metabolite	mut_TET2	linSVM	9	0.7450980392156863
Metabolite	mut_TET2	shrLDA	9	0.7581699346405228
Metabolite	mut_TET2	PLS	9	0.7581699346405228
Metabolite	mut_TET2	RF	9	0.5915032679738561
Metabolite	mut_TET2	HistGB	9	0.6209150326797386
Metabolite	mut_TET2	NaiveB	9	0.4836601307189542
Metabolite	mut_TET2	kNN	9	0.607843137254902
Metabolite	mut_TET2	MLP	9	0.6339869281045751
Metabolite	mut_TP53	logL2	4	0.7727272727272727
Metabolite	mut_TP53	logL1	4	0.7613636363636364
Metabolite	mut_TP53	elastic	4	0.7613636363636364
Metabolite	mut_TP53	linSVM	4	0.7727272727272727
Metabolite	mut_TP53	shrLDA	4	0.75
Metabolite	mut_TP53	PLS	4	0.7727272727272727
Metabolite	mut_TP53	RF	4	0.75
Metabolite	mut_TP53	HistGB	4	0.7272727272727273
Metabolite	mut_TP53	NaiveB	4	0.8181818181818181
Metabolite	mut_TP53	kNN	4	0.8068181818181818
Metabolite	mut_TP53	MLP	4	0.7954545454545454
Metabolite	mut_inv(16)_CBFB-MYH11	logL2	4	0.8409090909090909
Metabolite	mut_inv(16)_CBFB-MYH11	logL1	4	0.8522727272727273
Metabolite	mut_inv(16)_CBFB-MYH11	elastic	4	0.8636363636363636
Metabolite	mut_inv(16)_CBFB-MYH11	linSVM	4	0.7840909090909091
Metabolite	mut_inv(16)_CBFB-MYH11	shrLDA	4	0.7727272727272727
Metabolite	mut_inv(16)_CBFB-MYH11	PLS	4	0.9545454545454545
Metabolite	mut_inv(16)_CBFB-MYH11	RF	4	0.7215909090909091
Metabolite	mut_inv(16)_CBFB-MYH11	HistGB	4	0.875
Metabolite	mut_inv(16)_CBFB-MYH11	NaiveB	4	0.6931818181818181
Metabolite	mut_inv(16)_CBFB-MYH11	kNN	4	0.7272727272727272
Metabolite	mut_inv(16)_CBFB-MYH11	MLP	4	0.7045454545454546
