mutation	model	modality	cv_mean	cv_std	weight
cyto_complex	logL2	ADT	0.502	0.046	0.002
cyto_complex	logL2	Cell-comm	0.754	0.149	0.095
cyto_complex	logL2	Composition	0.509	0.108	0.004
cyto_complex	logL2	GRN	0.815	0.037	0.271
cyto_complex	logL2	LSC	0.504	0.137	0.002
cyto_complex	logL2	Lipid	0.799	0.029	0.281
cyto_complex	logL2	Metabolite	0.836	0.041	0.275
cyto_complex	logL2	RNA	0.674	0.136	0.07
cyto_complex	logL1	ADT	0.589	0.058	0.071
cyto_complex	logL1	Cell-comm	0.592	0.028	0.102
cyto_complex	logL1	Composition	0.547	0.006	0.072
cyto_complex	logL1	GRN	0.821	0.054	0.266
cyto_complex	logL1	LSC	0.382	0.054	0.0
cyto_complex	logL1	Lipid	0.768	0.081	0.176
cyto_complex	logL1	Metabolite	0.724	0.033	0.233
cyto_complex	logL1	RNA	0.649	0.11	0.081
cyto_complex	elastic	ADT	0.57	0.037	0.059
cyto_complex	elastic	Cell-comm	0.774	0.109	0.127
cyto_complex	elastic	Composition	0.537	0.023	0.038
cyto_complex	elastic	GRN	0.832	0.052	0.24
cyto_complex	elastic	LSC	0.451	0.069	0.0
cyto_complex	elastic	Lipid	0.799	0.033	0.264
cyto_complex	elastic	Metabolite	0.768	0.054	0.189
cyto_complex	elastic	RNA	0.677	0.109	0.082
cyto_complex	linSVM	ADT	0.48	0.071	0.0
cyto_complex	linSVM	Cell-comm	0.73	0.134	0.088
cyto_complex	linSVM	Composition	0.542	0.113	0.018
cyto_complex	linSVM	GRN	0.779	0.044	0.209
cyto_complex	linSVM	LSC	0.504	0.138	0.001
cyto_complex	linSVM	Lipid	0.833	0.04	0.259
cyto_complex	linSVM	Metabolite	0.875	0.026	0.348
cyto_complex	linSVM	RNA	0.699	0.132	0.077
cyto_complex	shrLDA	ADT	0.455	0.094	0.0
cyto_complex	shrLDA	Cell-comm	0.499	0.002	0.0
cyto_complex	shrLDA	Composition	0.415	0.061	0.0
cyto_complex	shrLDA	GRN	0.805	0.082	0.24
cyto_complex	shrLDA	LSC	0.496	0.135	0.0
cyto_complex	shrLDA	Lipid	0.818	0.107	0.211
cyto_complex	shrLDA	Metabolite	0.79	0.029	0.384
cyto_complex	shrLDA	RNA	0.675	0.061	0.165
cyto_complex	PLS	ADT	0.387	0.086	0.0
cyto_complex	PLS	Cell-comm	0.805	0.118	0.141
cyto_complex	PLS	Composition	0.458	0.043	0.0
cyto_complex	PLS	GRN	0.754	0.036	0.231
cyto_complex	PLS	LSC	0.523	0.119	0.011
cyto_complex	PLS	Lipid	0.776	0.061	0.195
cyto_complex	PLS	Metabolite	0.831	0.034	0.306
cyto_complex	PLS	RNA	0.713	0.093	0.116
cyto_complex	RF	ADT	0.63	0.079	0.062
cyto_complex	RF	Cell-comm	0.758	0.131	0.088
cyto_complex	RF	Composition	0.683	0.077	0.089
cyto_complex	RF	GRN	0.796	0.015	0.28
cyto_complex	RF	LSC	0.478	0.061	0.0
cyto_complex	RF	Lipid	0.698	0.104	0.079
cyto_complex	RF	Metabolite	0.794	0.029	0.23
cyto_complex	RF	RNA	0.767	0.046	0.171
cyto_complex	HistGB	ADT	0.452	0.146	0.0
cyto_complex	HistGB	Cell-comm	0.51	0.044	0.007
cyto_complex	HistGB	Composition	0.764	0.097	0.119
cyto_complex	HistGB	GRN	0.808	0.025	0.272
cyto_complex	HistGB	LSC	0.559	0.028	0.05
cyto_complex	HistGB	Lipid	0.659	0.048	0.107
cyto_complex	HistGB	Metabolite	0.848	0.028	0.295
cyto_complex	HistGB	RNA	0.713	0.045	0.149
cyto_complex	NaiveB	ADT	0.625	0.055	0.252
cyto_complex	NaiveB	Cell-comm	0.686	0.108	0.249
cyto_complex	NaiveB	Composition	0.434	0.065	0.0
cyto_complex	NaiveB	GRN	0.51	0.157	0.01
cyto_complex	NaiveB	LSC	0.615	0.168	0.112
cyto_complex	NaiveB	Lipid	0.573	0.053	0.151
cyto_complex	NaiveB	Metabolite	0.592	0.036	0.226
cyto_complex	NaiveB	RNA	0.415	0.169	0.0
cyto_complex	kNN	ADT	0.593	0.044	0.132
cyto_complex	kNN	Cell-comm	0.5	0.0	0.0
cyto_complex	kNN	Composition	0.602	0.098	0.091
cyto_complex	kNN	GRN	0.673	0.119	0.136
cyto_complex	kNN	LSC	0.563	0.05	0.083
cyto_complex	kNN	Lipid	0.697	0.104	0.169
cyto_complex	kNN	Metabolite	0.676	0.125	0.133
cyto_complex	kNN	RNA	0.675	0.041	0.255
