modality	mutation	model	npos	auc
GRN	cyto_complex	logL2	4	0.8977272727272727
GRN	cyto_complex	logL1	4	0.8068181818181818
GRN	cyto_complex	elastic	4	0.8636363636363636
GRN	cyto_complex	linSVM	4	0.875
GRN	cyto_complex	shrLDA	4	0.9204545454545454
GRN	cyto_complex	PLS	4	0.9204545454545455
GRN	cyto_complex	RF	4	0.8749999999999999
GRN	cyto_complex	HistGB	4	0.8863636363636362
GRN	cyto_complex	NaiveB	4	0.7727272727272727
GRN	cyto_complex	kNN	4	0.875
GRN	cyto_complex	MLP	4	0.8636363636363635
GRN	cyto_inv16	logL2	4	0.9318181818181818
GRN	cyto_inv16	logL1	4	0.9204545454545455
GRN	cyto_inv16	elastic	4	0.9431818181818181
GRN	cyto_inv16	linSVM	4	0.8181818181818181
GRN	cyto_inv16	shrLDA	4	0.7840909090909091
GRN	cyto_inv16	PLS	4	0.8636363636363635
GRN	cyto_inv16	RF	4	0.9488636363636364
GRN	cyto_inv16	HistGB	4	0.9090909090909091
GRN	cyto_inv16	NaiveB	4	0.9431818181818181
GRN	cyto_inv16	kNN	4	0.7386363636363636
GRN	cyto_inv16	MLP	4	0.9886363636363636
GRN	cyto_trisomy8	logL2	5	0.9523809523809523
GRN	cyto_trisomy8	logL1	5	0.9333333333333333
GRN	cyto_trisomy8	elastic	5	0.9619047619047619
GRN	cyto_trisomy8	linSVM	5	0.9619047619047619
GRN	cyto_trisomy8	shrLDA	5	0.9428571428571428
GRN	cyto_trisomy8	PLS	5	0.9238095238095239
GRN	cyto_trisomy8	RF	5	0.6190476190476191
GRN	cyto_trisomy8	HistGB	5	0.8476190476190477
GRN	cyto_trisomy8	NaiveB	5	0.5047619047619047
GRN	cyto_trisomy8	kNN	5	0.742857142857143
GRN	cyto_trisomy8	MLP	5	0.7809523809523811
GRN	mut_DNMT3A	logL2	8	0.7152777777777778
GRN	mut_DNMT3A	logL1	8	0.7222222222222223
GRN	mut_DNMT3A	elastic	8	0.7152777777777778
GRN	mut_DNMT3A	linSVM	8	0.7847222222222222
GRN	mut_DNMT3A	shrLDA	8	0.7152777777777778
GRN	mut_DNMT3A	PLS	8	0.7986111111111112
GRN	mut_DNMT3A	RF	8	0.5486111111111112
GRN	mut_DNMT3A	HistGB	8	0.6944444444444444
GRN	mut_DNMT3A	NaiveB	8	0.47916666666666663
GRN	mut_DNMT3A	kNN	8	0.5347222222222222
GRN	mut_DNMT3A	MLP	8	0.4930555555555556
GRN	mut_FLT3	logL2	10	0.71875
GRN	mut_FLT3	logL1	10	0.74375
GRN	mut_FLT3	elastic	10	0.7437499999999999
GRN	mut_FLT3	linSVM	10	0.725
GRN	mut_FLT3	shrLDA	10	0.7875
GRN	mut_FLT3	PLS	10	0.6875
GRN	mut_FLT3	RF	10	0.559375
GRN	mut_FLT3	HistGB	10	0.58125
GRN	mut_FLT3	NaiveB	10	0.625
GRN	mut_FLT3	kNN	10	0.559375
GRN	mut_FLT3	MLP	10	0.5375000000000001
GRN	mut_FLT3-ITD	logL2	7	0.7819548872180451
GRN	mut_FLT3-ITD	logL1	7	0.6992481203007519
GRN	mut_FLT3-ITD	elastic	7	0.7293233082706767
GRN	mut_FLT3-ITD	linSVM	7	0.849624060150376
GRN	mut_FLT3-ITD	shrLDA	7	0.9172932330827067
GRN	mut_FLT3-ITD	PLS	7	0.8721804511278195
GRN	mut_FLT3-ITD	RF	7	0.537593984962406
GRN	mut_FLT3-ITD	HistGB	7	0.7518796992481203
GRN	mut_FLT3-ITD	NaiveB	7	0.6842105263157894
GRN	mut_FLT3-ITD	kNN	7	0.6691729323308271
GRN	mut_FLT3-ITD	MLP	7	0.5263157894736843
GRN	mut_FLT3-TKD	logL2	4	0.8863636363636362
GRN	mut_FLT3-TKD	logL1	4	0.8863636363636362
GRN	mut_FLT3-TKD	elastic	4	0.8863636363636362
GRN	mut_FLT3-TKD	linSVM	4	0.5909090909090909
GRN	mut_FLT3-TKD	shrLDA	4	0.5
GRN	mut_FLT3-TKD	PLS	4	0.5113636363636364
GRN	mut_FLT3-TKD	RF	4	0.875
GRN	mut_FLT3-TKD	HistGB	4	0.9204545454545454
GRN	mut_FLT3-TKD	NaiveB	4	0.8636363636363636
GRN	mut_FLT3-TKD	kNN	4	1.0
GRN	mut_FLT3-TKD	MLP	4	0.1477272727272727
GRN	mut_IDH1	logL2	3	0.7536231884057971
GRN	mut_IDH1	logL1	3	0.5942028985507246
GRN	mut_IDH1	elastic	3	0.7246376811594203
GRN	mut_IDH1	linSVM	3	0.8115942028985508
GRN	mut_IDH1	shrLDA	3	0.6666666666666666
GRN	mut_IDH1	PLS	3	0.681159420289855
GRN	mut_IDH1	RF	3	0.6014492753623188
GRN	mut_IDH1	HistGB	3	0.8260869565217391
GRN	mut_IDH1	NaiveB	3	0.4565217391304348
GRN	mut_IDH1	kNN	3	0.5
GRN	mut_IDH1	MLP	3	0.7246376811594203
GRN	mut_IDH2	logL2	6	0.5833333333333333
GRN	mut_IDH2	logL1	6	0.5833333333333333
GRN	mut_IDH2	elastic	6	0.6000000000000001
GRN	mut_IDH2	linSVM	6	0.6083333333333334
GRN	mut_IDH2	shrLDA	6	0.5666666666666667
GRN	mut_IDH2	PLS	6	0.5916666666666667
GRN	mut_IDH2	RF	6	0.55
GRN	mut_IDH2	HistGB	6	0.4583333333333333
GRN	mut_IDH2	NaiveB	6	0.475
GRN	mut_IDH2	kNN	6	0.7250000000000001
GRN	mut_IDH2	MLP	6	0.48333333333333334
GRN	mut_NPM1	logL2	12	0.9702380952380951
GRN	mut_NPM1	logL1	12	0.8630952380952381
GRN	mut_NPM1	elastic	12	0.9166666666666666
GRN	mut_NPM1	linSVM	12	0.9702380952380951
GRN	mut_NPM1	shrLDA	12	0.9166666666666666
GRN	mut_NPM1	PLS	12	0.9642857142857143
GRN	mut_NPM1	RF	12	0.9166666666666666
GRN	mut_NPM1	HistGB	12	0.9166666666666665
GRN	mut_NPM1	NaiveB	12	0.5654761904761905
GRN	mut_NPM1	kNN	12	0.8333333333333334
GRN	mut_NPM1	MLP	12	0.9404761904761905
GRN	mut_NRAS	logL2	5	0.7238095238095238
GRN	mut_NRAS	logL1	5	0.5714285714285714
GRN	mut_NRAS	elastic	5	0.6
GRN	mut_NRAS	linSVM	5	0.7904761904761904
GRN	mut_NRAS	shrLDA	5	0.761904761904762
GRN	mut_NRAS	PLS	5	0.7523809523809524
GRN	mut_NRAS	RF	5	0.6714285714285715
GRN	mut_NRAS	HistGB	5	0.7238095238095238
GRN	mut_NRAS	NaiveB	5	0.6190476190476191
GRN	mut_NRAS	kNN	5	0.7904761904761906
GRN	mut_NRAS	MLP	5	0.6476190476190476
GRN	mut_PHIP	logL2	3	0.8260869565217391
GRN	mut_PHIP	logL1	3	0.7681159420289856
GRN	mut_PHIP	elastic	3	0.7826086956521738
GRN	mut_PHIP	linSVM	3	0.8260869565217391
GRN	mut_PHIP	shrLDA	3	0.9565217391304348
GRN	mut_PHIP	PLS	3	0.9565217391304348
GRN	mut_PHIP	RF	3	0.7681159420289855
GRN	mut_PHIP	HistGB	3	0.6521739130434783
GRN	mut_PHIP	NaiveB	3	0.6594202898550724
GRN	mut_PHIP	kNN	3	0.6376811594202898
GRN	mut_PHIP	MLP	3	0.6376811594202899
GRN	mut_RUNX1	logL2	5	0.8857142857142857
GRN	mut_RUNX1	logL1	5	0.9047619047619048
GRN	mut_RUNX1	elastic	5	0.9142857142857143
GRN	mut_RUNX1	linSVM	5	0.8952380952380953
GRN	mut_RUNX1	shrLDA	5	0.9904761904761904
GRN	mut_RUNX1	PLS	5	0.942857142857143
GRN	mut_RUNX1	RF	5	0.9714285714285714
GRN	mut_RUNX1	HistGB	5	0.8952380952380952
GRN	mut_RUNX1	NaiveB	5	0.6904761904761905
GRN	mut_RUNX1	kNN	5	0.8476190476190476
GRN	mut_RUNX1	MLP	5	0.6761904761904762
GRN	mut_SRSF2	logL2	5	0.6285714285714286
GRN	mut_SRSF2	logL1	5	0.49523809523809526
GRN	mut_SRSF2	elastic	5	0.5047619047619047
GRN	mut_SRSF2	linSVM	5	0.9333333333333333
GRN	mut_SRSF2	shrLDA	5	0.9809523809523809
GRN	mut_SRSF2	PLS	5	0.8952380952380953
GRN	mut_SRSF2	RF	5	0.5571428571428572
GRN	mut_SRSF2	HistGB	5	0.43809523809523815
GRN	mut_SRSF2	NaiveB	5	0.4571428571428572
GRN	mut_SRSF2	kNN	5	0.45714285714285713
GRN	mut_SRSF2	MLP	5	0.5619047619047619
GRN	mut_TET2	logL2	9	0.7516339869281046
GRN	mut_TET2	logL1	9	0.7254901960784313
GRN	mut_TET2	elastic	9	0.7450980392156863
GRN	mut_TET2	linSVM	9	0.8039215686274509
GRN	mut_TET2	shrLDA	9	0.7973856209150326
GRN	mut_TET2	PLS	9	0.7058823529411764
GRN	mut_TET2	RF	9	0.6503267973856209
GRN	mut_TET2	HistGB	9	0.673202614379085
GRN	mut_TET2	NaiveB	9	0.607843137254902
GRN	mut_TET2	kNN	9	0.6372549019607843
GRN	mut_TET2	MLP	9	0.7647058823529411
GRN	mut_TP53	logL2	4	0.7954545454545454
GRN	mut_TP53	logL1	4	0.8409090909090909
GRN	mut_TP53	elastic	4	0.8181818181818181
GRN	mut_TP53	linSVM	4	0.7840909090909091
GRN	mut_TP53	shrLDA	4	0.7613636363636364
GRN	mut_TP53	PLS	4	0.7613636363636364
GRN	mut_TP53	RF	4	0.8636363636363636
GRN	mut_TP53	HistGB	4	0.9318181818181819
GRN	mut_TP53	NaiveB	4	0.7329545454545454
GRN	mut_TP53	kNN	4	0.8125
GRN	mut_TP53	MLP	4	0.6363636363636364
GRN	mut_inv(16)_CBFB-MYH11	logL2	4	0.9318181818181818
GRN	mut_inv(16)_CBFB-MYH11	logL1	4	0.9204545454545455
GRN	mut_inv(16)_CBFB-MYH11	elastic	4	0.9431818181818181
GRN	mut_inv(16)_CBFB-MYH11	linSVM	4	0.8181818181818181
GRN	mut_inv(16)_CBFB-MYH11	shrLDA	4	0.7840909090909091
GRN	mut_inv(16)_CBFB-MYH11	PLS	4	0.8636363636363635
GRN	mut_inv(16)_CBFB-MYH11	RF	4	0.9488636363636364
GRN	mut_inv(16)_CBFB-MYH11	HistGB	4	0.9090909090909091
GRN	mut_inv(16)_CBFB-MYH11	NaiveB	4	0.9431818181818181
GRN	mut_inv(16)_CBFB-MYH11	kNN	4	0.7386363636363636
GRN	mut_inv(16)_CBFB-MYH11	MLP	4	0.9886363636363636
