mutation	sample	truth	opt_score
cyto_complex	CCHMC::1009_AfInv16_29M	0	0.306
cyto_complex	CCHMC::1102_E_N1c	0	0.542
cyto_complex	CCHMC::287_AfInv_P53F_N1c	0	0.519
cyto_complex	CCHMC::3410_AfST8_P64M	0	0.698
cyto_complex	CCHMC::568_AfInv16_P24M	0	0.359
cyto_complex	Colorado::AML-04	0	0.444
cyto_complex	Colorado::AML-07	1	0.483
cyto_complex	Colorado::AML-14	0	0.375
cyto_complex	Colorado::AML-17	0	0.441
cyto_complex	Columbia::AML1	0	0.544
cyto_complex	Columbia::AML10	1	0.94
cyto_complex	Columbia::AML5	0	0.407
cyto_complex	Milan::PT08__D14	0	0.52
cyto_complex	Milan::PT13__Diagnosis	0	0.3
cyto_complex	NYU-1::AML0024	1	0.898
cyto_complex	NYU-1::AML0114	0	0.27
cyto_complex	NYU-1::AML0310	0	0.073
cyto_complex	NYU-1::AML0612	0	0.152
cyto_complex	NYU-1::AML2910	0	0.716
cyto_complex	WashU::10DD-1002__Treatment	0	0.831
cyto_complex	WashU::10DD-1003__Diagnosis	0	0.75
cyto_complex	WashU::10DD-1010__Diagnosis	0	0.297
cyto_complex	WashU::10DD-1062__Treatment	1	0.978
cyto_complex	WashU::220882__Diagnosis	0	0.667
cyto_complex	WashU::452198__Diagnosis	0	0.136
cyto_complex	WashU::875663__Diagnosis	0	0.352
cyto_inv16	CCHMC::1009_AfInv16_29M	1	0.991
cyto_inv16	CCHMC::1102_E_N1c	0	0.373
cyto_inv16	CCHMC::287_AfInv_P53F_N1c	1	0.717
cyto_inv16	CCHMC::3410_AfST8_P64M	0	0.304
cyto_inv16	CCHMC::568_AfInv16_P24M	1	0.962
cyto_inv16	Colorado::AML-04	0	0.424
cyto_inv16	Colorado::AML-07	0	0.521
cyto_inv16	Colorado::AML-14	1	0.877
cyto_inv16	Colorado::AML-17	0	0.504
cyto_inv16	Columbia::AML1	0	0.77
cyto_inv16	Columbia::AML10	0	0.189
cyto_inv16	Columbia::AML5	0	0.435
cyto_inv16	Milan::PT08__D14	0	0.519
cyto_inv16	Milan::PT13__Diagnosis	0	0.375
cyto_inv16	NYU-1::AML0024	0	0.161
cyto_inv16	NYU-1::AML0114	0	0.318
cyto_inv16	NYU-1::AML0310	0	0.802
cyto_inv16	NYU-1::AML0612	0	0.403
cyto_inv16	NYU-1::AML2910	0	0.49
cyto_inv16	WashU::10DD-1002__Treatment	0	0.431
cyto_inv16	WashU::10DD-1003__Diagnosis	0	0.44
cyto_inv16	WashU::10DD-1010__Diagnosis	0	0.517
cyto_inv16	WashU::10DD-1062__Treatment	0	0.468
cyto_inv16	WashU::220882__Diagnosis	0	0.49
cyto_inv16	WashU::452198__Diagnosis	0	0.234
cyto_inv16	WashU::875663__Diagnosis	0	0.285
cyto_trisomy8	CCHMC::1009_AfInv16_29M	0	0.315
cyto_trisomy8	CCHMC::1102_E_N1c	0	0.51
cyto_trisomy8	CCHMC::287_AfInv_P53F_N1c	0	0.337
cyto_trisomy8	CCHMC::3410_AfST8_P64M	1	0.923
cyto_trisomy8	CCHMC::568_AfInv16_P24M	0	0.161
cyto_trisomy8	Colorado::AML-04	0	0.354
cyto_trisomy8	Colorado::AML-07	1	0.758
cyto_trisomy8	Colorado::AML-14	0	0.319
cyto_trisomy8	Colorado::AML-17	0	0.469
cyto_trisomy8	Columbia::AML1	0	0.541
cyto_trisomy8	Columbia::AML10	0	0.656
cyto_trisomy8	Columbia::AML5	0	0.45
cyto_trisomy8	Milan::PT08__D14	0	0.52
cyto_trisomy8	Milan::PT13__Diagnosis	0	0.462
cyto_trisomy8	NYU-1::AML0024	1	0.875
cyto_trisomy8	NYU-1::AML0114	0	0.295
cyto_trisomy8	NYU-1::AML0310	0	0.486
cyto_trisomy8	NYU-1::AML0612	1	0.694
cyto_trisomy8	NYU-1::AML2910	0	0.593
cyto_trisomy8	WashU::10DD-1002__Treatment	0	0.439
cyto_trisomy8	WashU::10DD-1003__Diagnosis	1	0.696
cyto_trisomy8	WashU::10DD-1010__Diagnosis	0	0.362
cyto_trisomy8	WashU::10DD-1062__Treatment	0	0.615
cyto_trisomy8	WashU::220882__Diagnosis	0	0.438
cyto_trisomy8	WashU::452198__Diagnosis	0	0.384
cyto_trisomy8	WashU::875663__Diagnosis	0	0.348
mut_DNMT3A	CCHMC::1009_AfInv16_29M	0	0.221
mut_DNMT3A	CCHMC::1102_E_N1c	0	0.605
mut_DNMT3A	CCHMC::287_AfInv_P53F_N1c	1	0.601
mut_DNMT3A	CCHMC::3410_AfST8_P64M	0	0.178
mut_DNMT3A	CCHMC::568_AfInv16_P24M	0	0.567
mut_DNMT3A	Colorado::AML-04	0	0.308
mut_DNMT3A	Colorado::AML-07	0	0.176
mut_DNMT3A	Colorado::AML-14	0	0.313
mut_DNMT3A	Colorado::AML-17	0	0.562
mut_DNMT3A	Columbia::AML1	1	0.901
mut_DNMT3A	Columbia::AML10	0	0.453
mut_DNMT3A	Columbia::AML5	0	0.57
mut_DNMT3A	Milan::PT08__D14	1	0.421
mut_DNMT3A	Milan::PT13__Diagnosis	0	0.671
mut_DNMT3A	NYU-1::AML0024	0	0.29
mut_DNMT3A	NYU-1::AML0114	1	0.497
mut_DNMT3A	NYU-1::AML0310	0	0.871
mut_DNMT3A	NYU-1::AML0612	0	0.229
mut_DNMT3A	NYU-1::AML2910	0	0.326
mut_DNMT3A	WashU::10DD-1002__Treatment	1	0.849
mut_DNMT3A	WashU::10DD-1003__Diagnosis	0	0.405
mut_DNMT3A	WashU::10DD-1010__Diagnosis	0	0.455
mut_DNMT3A	WashU::10DD-1062__Treatment	0	0.367
mut_DNMT3A	WashU::220882__Diagnosis	1	0.624
mut_DNMT3A	WashU::452198__Diagnosis	1	0.701
mut_DNMT3A	WashU::875663__Diagnosis	1	0.839
mut_FLT3	CCHMC::1009_AfInv16_29M	0	0.446
mut_FLT3	CCHMC::1102_E_N1c	0	0.306
mut_FLT3	CCHMC::287_AfInv_P53F_N1c	0	0.793
mut_FLT3	CCHMC::3410_AfST8_P64M	1	0.189
mut_FLT3	CCHMC::568_AfInv16_P24M	0	0.233
mut_FLT3	Colorado::AML-04	1	0.895
mut_FLT3	Colorado::AML-07	0	0.451
mut_FLT3	Colorado::AML-14	0	0.576
mut_FLT3	Colorado::AML-17	1	0.871
mut_FLT3	Columbia::AML1	1	0.762
mut_FLT3	Columbia::AML10	0	0.395
mut_FLT3	Columbia::AML5	1	0.628
mut_FLT3	Milan::PT08__D14	0	0.477
mut_FLT3	Milan::PT13__Diagnosis	1	0.801
mut_FLT3	NYU-1::AML0024	1	0.29
mut_FLT3	NYU-1::AML0114	0	0.375
mut_FLT3	NYU-1::AML0310	0	0.478
mut_FLT3	NYU-1::AML0612	0	0.18
mut_FLT3	NYU-1::AML2910	1	0.23
mut_FLT3	WashU::10DD-1002__Treatment	0	0.183
mut_FLT3	WashU::10DD-1003__Diagnosis	0	0.332
mut_FLT3	WashU::10DD-1010__Diagnosis	0	0.679
