mutation	model	strategy	lead_modality	n	single	blend	optimized	oracle
cyto_complex	linSVM	blend	Metabolite	26	0.8863636363636362	0.8977272727272727	0.8977272727272727	0.9886363636363636
cyto_inv16	PLS	blend	RNA	26	0.9318181818181819	0.9772727272727273	0.9772727272727273	0.9772727272727273
cyto_trisomy8	PLS	blend	Lipid	26	0.9142857142857143	1.0	1.0	1.0
mut_DNMT3A	shrLDA	blend	Lipid	26	0.8819444444444444	0.8472222222222222	0.8472222222222222	0.8819444444444444
mut_FLT3	logL2	blend	RNA	26	0.775	0.7312500000000001	0.7312500000000001	0.8125
mut_FLT3-ITD	shrLDA	blend	Lipid	26	0.7969924812030076	0.9172932330827067	0.9172932330827067	0.9172932330827067
mut_FLT3-TKD	logL1	blend	RNA	26	0.8636363636363636	0.9431818181818181	0.9431818181818181	0.9772727272727273
mut_IDH1	logL1	single	RNA	26	0.855072463768116	0.7246376811594203	0.855072463768116	1.0
mut_IDH2	RF	single	RNA	26	0.39166666666666666	0.38333333333333325	0.39166666666666666	0.7416666666666667
mut_NPM1	logL2	blend	RNA	26	0.9523809523809523	0.9583333333333334	0.9583333333333334	0.9821428571428572
mut_NRAS	RF	blend	Cell-comm	26	0.638095238095238	0.6285714285714286	0.6285714285714286	0.7190476190476192
mut_PHIP	elastic	blend	GRN	26	0.8260869565217391	0.8405797101449275	0.8405797101449275	0.9710144927536232
mut_RUNX1	logL2	blend	Metabolite	26	0.9428571428571428	0.9523809523809523	0.9523809523809523	1.0
mut_SRSF2	PLS	blend	Metabolite	26	0.7809523809523811	0.8	0.8	0.8
mut_TET2	shrLDA	blend	Lipid	26	0.8169934640522876	0.8169934640522876	0.8169934640522876	0.8888888888888888
mut_TP53	PLS	blend	RNA	26	0.8977272727272727	0.8068181818181819	0.8068181818181819	0.8977272727272727
mut_inv(16)_CBFB-MYH11	PLS	blend	RNA	26	0.9318181818181819	0.9772727272727273	0.9772727272727273	0.9772727272727273
