mutation	n	best_cell	all_blend	optimized	oracle
cyto_complex	26	0.8863636363636362	0.9659090909090908	0.9431818181818181	1.0
cyto_inv16	26	0.9318181818181818	0.9659090909090908	0.9772727272727273	1.0
cyto_trisomy8	26	0.9142857142857143	0.9238095238095239	1.0	1.0
mut_DNMT3A	26	0.763888888888889	0.7777777777777778	0.8194444444444444	0.8819444444444444
mut_FLT3	26	0.7	0.74375	0.74375	0.91875
mut_FLT3-ITD	26	0.7744360902255638	0.8195488721804511	0.887218045112782	0.9924812030075187
mut_FLT3-TKD	26	0.8636363636363636	0.9318181818181819	0.8863636363636364	0.971590909090909
mut_IDH1	26	0.855072463768116	0.8115942028985508	0.8840579710144928	1.0
mut_IDH2	26	0.39166666666666666	0.65	0.675	0.8
mut_NPM1	26	0.9166666666666666	0.9583333333333334	0.9523809523809524	0.9880952380952381
mut_NRAS	26	0.6380952380952382	0.6380952380952382	0.6666666666666666	0.8285714285714286
mut_PHIP	26	0.6014492753623188	0.927536231884058	0.927536231884058	0.9855072463768116
mut_RUNX1	26	0.9428571428571428	0.980952380952381	0.9714285714285714	1.0
mut_SRSF2	26	0.7809523809523811	0.7809523809523811	0.761904761904762	0.8666666666666667
mut_TET2	26	0.8169934640522876	0.7450980392156863	0.7647058823529411	0.9084967320261437
mut_TP53	26	0.8977272727272727	0.7840909090909091	0.7727272727272727	0.9204545454545454
mut_inv(16)_CBFB-MYH11	26	0.9318181818181818	0.9659090909090908	0.9772727272727273	1.0
