final_program	AML	ASXL1	CBL	CEBPA	CKIT	CSF3R	DEL(7)	DNMT3A	FLT3	IDH1	IDH2	Inv16	KRAS	NPM1	NRAS	PHIP	Pediatric-AML	SF3B1	SRSF2	TET2	TP53	WT1	multi	nan
P0	92	17	2	0	4	7	2	0	28	0	6	53	13	22	6	5	29	0	1	7	1	0	1	8
P1	211	0	0	8	0	0	1	0	14	0	0	0	4	31	0	2	0	23	1	2	22	1	2	0
P10	200	4	0	0	0	0	8	0	42	0	0	38	1	7	1	29	54	13	4	11	5	0	1	1
P11	54	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	73	0	0	12	0
P12	130	4	3	0	0	0	2	0	61	9	0	4	1	102	3	0	3	0	3	6	0	0	0	11
P13	29	2	0	0	25	22	0	0	0	0	0	205	0	0	0	1	5	0	0	1	0	0	0	1
P14	312	4	0	0	0	0	0	10	46	0	4	83	6	153	3	22	44	2	0	2	8	0	1	1
P15	75	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0
P2	429	20	3	12	7	5	93	13	55	1	13	58	11	181	17	9	54	29	39	53	57	4	17	30
P3	281	0	0	0	0	0	1	0	0	0	0	63	0	60	0	41	18	0	0	1	1	0	0	0
P4	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P5	137	0	13	0	0	0	6	4	43	2	0	4	21	70	12	0	40	2	8	1	0	0	0	4
P6	621	4	0	19	0	0	27	5	24	1	1	15	10	79	1	13	80	72	10	6	63	8	10	10
P7	671	1	0	1	0	0	2	3	6	0	2	50	4	55	1	72	47	46	15	72	26	1	3	0
P8	567	4	1	3	0	0	44	1	15	2	4	32	17	86	15	15	165	21	8	2	104	16	1	24
P9	40	9	2	27	0	0	35	14	20	1	12	0	6	5	15	3	1	9	2	27	19	19	0	23
